verdict	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	id
3	n	1	万里	ばんり	thousands of miles	만리(0)	鰻鱺	뱀장어과의 민물고기. 몸의 길이는 60cm 정도이고 가늘며, 누런색 또는 검은색이고 배는 은백색이다. 배지느러미가 없고 잔비늘이 피부에 묻혀 있어 보이지 않는다. 민물에서 살다가 바다에서 산란한다. 한국, 일본, 중국 등지에 분포한다.	1526580
3	n	3	九分	くぶ	nine parts, ninety percent, mostly, nine percent	구분(1)	口分	사람마다 똑같이 나누어 줌.	1243870
3	n	3	小鉢	こばち	small bowl	소-발(1)		소의 발.	1348660
3	n	2	白羽	しらは	white feather	백우(1)	白雨	큰 물방울들이 공중에서 갑자기 찬 기운을 만나 얼어 떨어지는 얼음덩어리. 크기는 지름 5mm쯤 되며, 주로 적란운에서 내린다.	1475010
3	n	3	誤射	ごしゃ	accidental shooting	오사(1)	五司	조선 문종 원년(1451)에 종래의 십이사를 개편한 군제(軍制). 중군(中軍)을 의흥사(義興司)·충좌사(忠佐司)·충무사(忠武司), 좌군(左軍)을 용양사, 우군(右軍)을 호분사로 하였는데, 세조 3년(1457)에 오위(五衛)로 고쳤다.	1693280
3	n	2	鳴門	なると	strait with a roaring tidal ebb and flow, whirlpool, maelstrom, kamaboko with a spiral whirlpool-like pattern	명문(1)	名文	뛰어나게 잘 지은 글.	1753350
1	Y	0	決断	けつだん	decision, determination	결단(1)	決斷	결정적인 판단을 하거나 단정을 내림. 또는 그런 판단이나 단정.	1254370
3	n	2	憤慨	ふんがい	indignation, resentment	분개(1)	分介	부기(簿記)에서, 거래 내용을 차변(借邊)과 대변(貸邊)으로 나누어 적는 일.	1504650
1	Y	2	余命	よめい	remainder of one's life, one's remaining days, time left (to live)	여명(2)	餘命	얼마 남지 아니한 쇠잔한 목숨.	1544570
2	n	1	家族計画	かぞくけいかく	family planning	가족-계획(0)	家族計劃	행복한 가정생활을 위해 부부의 생활 능력에 따라 자녀의 수나 출산의 간격을 계획적으로 조절하는 일.	1192160
